premiseid,premisesname,altpremisesname,customer,tenancyfloororsuite,premisetype,streetnumber,streetname,suburb,state,postcode,latitude,longitude,ratingreferencenumber,ratingtype,ratingscope,certificatevalidto,energystarratingvalue,energygpstarratingvaluenogp,energygreenpowerpercent,energygreenpower,wastestarratingvalue,ieqstarratingvalue,ghgemissionsscope123withrenewableelectricity,ghgemissionsscope123withoutrenewableelectricity,ghgemissionsscope123perm2withrenewableelectricity,ghgemissionsscope123perm2withoutrenewableelectricity,energyintensitybym2,energyintensitybyroom,ghgemissionsscope123perroom,ghgemissionsscope123perroomnogp,totalenergyuse,carbonneutral,carbonneutralexpirydate,aaastarratingvalue,datacentre_pue,hospitalpeergroup,waterstarratingvalue,waterstarratingvaluenorw,waterrecycledpercent,waterrecycled,waterconsumption,waterconsumptionworw,waterconsumptionperroom,waterconsumptionperroomnorw,waterintensity,waterintensitynorw,thermalcomfortscore,airqualityscore,acousticcomfortscore,lightingscore,officelayoutscore,recyclerate,wasteintensity,apartmentbuildingstotalnumberofapartments,agedcaretotalbeds,hotelratedguestrooms,officeratedarea,shoppingcentresratedarea,ratedsitearea_cl_rl_wc,ratedelectricity,ratedgas,gasandlpg_rei%,rateddiesel,diesel_rei%,reiresult_%,reiresult1dp_%,totalrenewableelectricity_kwh,nonrenewableelectricity_kwh,nonrenewableelectricity_rei%,onsitepvcapacity_kw,onsiterenewableelectricity_kwh,onsiterenewableelectricity_rei%,retandstateterritorytargets_kwh,retandstateterritorytargets_rei%,greenpower_kwh,greenpower_rei%,othervoluntarypurchases_kwh,othervoluntarypurchases_rei%,combined_column,_merge
10,"Australia Square Complex, Sydney","Australia Square Complex, Sydney",DEXUS Funds Management Limited As Trustee For DEXUS Australia Square Trust,NULL,Office,264-278,George Street,SYDNEY,NSW,2000,-33.86494844,151.2079552,N64295,Waste,Base Building,2024-04-28 00:00:00,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-04-28 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,8.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10_N64295_Waste_2024-04-28,both
10,"Australia Square Complex, Sydney",Australia Square Tower,DEXUS FUNDS MANAGEMENT LIMITED,NULL,Office,264-278,George Street,SYDNEY,NSW,2000,-33.86494844,151.2079552,N67410,Indoor Environment,Base Building,2024-07-20 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-07-20 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.2,85.7,73.3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10_N67410_Indoor Environment_2024-07-20,both
10010,NULL,NULL,Charter Hall Limited,NULL,Office,130,Lonsdale Street,MELBOURNE,VIC,3000,-37.81018185,144.9686322,N67759,Indoor Environment,Base Building,2024-07-03 00:00:00,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-07-03 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,82.7,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10010_N67759_Indoor Environment_2024-07-03,both
10036,John Mcewen House,John Mcewen House,ISPT Pty Ltd,NULL,Office,7,National Circuit,BARTON,ACT,2600,-35.30758626,149.1331543,N67835,Waste,Base Building,2024-10-27 00:00:00,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-10-27 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,5.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10036_N67835_Waste_2024-10-27,both
10044,Flinders Gate Complex,Flinders Gate Complex,DEXUS Funds Management Limited As Responsible Entity For DEXUS Office Trust,NULL,Office,180,Flinders Street,MELBOURNE,VIC,3000,-37.81685746,144.9687242,N64482,Waste,Base Building,2024-05-30 00:00:00,NULL,NULL,NULL,NULL,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-05-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,6.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10044_N64482_Waste_2024-05-30,both
10045,Daramu House,Daramu House,The Trustee For Daramu House Trust,NULL,Office,1,Sussex Street,BARANGAROO,NSW,2000,-33.86477005,151.2031429,N65678,Indoor Environment,Base Building,2024-01-25 00:00:00,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-01-25 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91.9,93.3,95.3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10045_N65678_Indoor Environment_2024-01-25,both
10074,220 London Circuit,220 London Circuit,COLLIERS INTERNATIONAL (ACT) PTY LIMITED,NULL,Office,220,London Circuit,CANBERRA,ACT,2601,-35.28236517,149.1314071,N68085,Waste,Whole Building,2024-10-10 00:00:00,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-10-10 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,7.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10074_N68085_Waste_2024-10-10,both
10083,NULL,NULL,Property NSW,NULL,Office,35-37,Abbott Street,GUNNEDAH,NSW,2380,-30.97897131,150.2573759,N66525,Indoor Environment,Base Building,2024-06-15 00:00:00,NULL,NULL,NULL,NULL,NULL,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-15 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,94.1,66.5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10083_N66525_Indoor Environment_2024-06-15,both
10097,14 Stratton Street,14 Stratton Street,Charter Hall Limited,NULL,Office,14,Stratton Street,NEWSTEAD,QLD,4006,-27.45190762,153.0413829,N67725,Indoor Environment,Base Building,2024-06-29 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-29 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.1,97.3,69.5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10097_N67725_Indoor Environment_2024-06-29,both
10147,NULL,NULL,Charter Hall Limited,NULL,Office,6,Hassall Street,PARRAMATTA,NSW,2150,-33.81784607,151.0076578,N67196,Indoor Environment,Base Building,2024-05-04 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-05-04 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66.7,98,89.7,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10147_N67196_Indoor Environment_2024-05-04,both
